radius;thickness;material;index;v-no;sa
238.520;24.420;BACDS;1.589;61.3;120.0
566.770;0.730;air;;;100.0
150.610;7.810;LASF1;1.786;44.2;90.0
68.820;27.350;air;;;62.5
174.880;5.860;LASF3;1.806;40.9;62.5 
70.340;16.600;air;;;55.0 
177.050;16.110;FD60;1.805;25.5;55.0 
-1764.080;6.350;air;;;50.0 
240.220;4.880;LAK8;1.713;53.8;45.0 
79.250;20.360;air;;;45.0 
178.370;17.090;FD4;1.755;27.5;44.2 
-303.550;36.530;BK7;1.516;64.1;45.3 
-86.890;4.150;air;;;48.9 
;4.150;air;;;46.3
1014.000;41.020;TAF1;1.773;49.6;45.7 
-69.820;4.880;FD4;1.755;27.5;43.3 
230.520;10.650;air;;;42.5 
-134.410;4.880;LASF8;1.883;40.8;47.0 
159.190;29.540;FK5;1.487;70.2;56.0 
-107.770;0.730;air;;;58.0 
3555.270;21.490;LAK14;1.697;55.5;75.0 
-171.520;0.730;air;;;75.0 
-5794.060;20.020;TAF1;1.773;49.6;86.0 
-221.470;178.126;air;;;86.0 
