radius;thickness;material;index;v-no;sa
-236.239;48.370;NBFDS;1.762;40.3;93.5
210.181;117.510;FDS9;1.847;23.8;112.2
-1904.762;156.670;air;;;123.9
4406.645;47.000;LAK14;1.697;55.5;158.8
277.800;270.100;CAF;1.434;94.9;169.9
-277.855;52.880;KZFS4;1.613;43.8;207.4
-529.381;5.880;air;;;241.3
875.810;145.760;CAF;1.434;94.9;275.5
-875.657;5.880;air;;;281.0
473.373;239.130;CAF;1.434;94.9;281.0
-502.260;89.650;KZFS5;1.654;39.6;266.0
295.151;215.520;PSK01;1.617;62.8;240.6
-767.460;5.880;air;;;237.3
257.023;115.070;BK10;1.498;66.9;193.9
452.039;4.590;air;;;162.3
107.340;124.730;SK14;1.603;60.6;107.2
83.528;33.727;air;;;55.0
